typeID,attributeID,valueInt,valueFloat
28005,182,3400,
28005,277,1,
28005,472,28113,
28005,556,3600000,
28005,9,100000000,
28025,1939,,0.04
28025,1806,,1.0
28025,9,100000000,
28025,182,3400,
28025,277,3,
28025,472,28105,
28025,556,3600000,
28045,1939,,0.0
28045,1806,,1.0
28045,277,5,
28045,472,28079,
28045,556,3600000,
28045,9,100000000,
28045,182,3400,
29193,309,,-75.0
29250,9,,1000000.0
29356,9,,100000000.0
29359,9,,100000000.0
29459,9,,100000000.0
29505,9,,100000000.0
29562,9,,100000000.0
29565,9,,100000000.0
29568,9,,100000000.0
29585,9,,100000000.0
30295,252,,0.0
30295,525,,1.0
30295,524,,1.0
30295,552,,1000.0
30295,665,,0.0
30295,263,,50000.0
30295,265,,100000.0
30295,416,,0.0
30295,456,,5.0
30295,457,,10.0
30295,479,,86400000.0
30295,54,,0.0
30295,158,,0.0
30295,160,,0.0
30295,247,,0.0
30295,250,,5.0
30295,251,,10.0
30295,9,,50000.0
30458,9,,1500.0
30458,525,,1.0
30458,552,,5000.0
30458,901,,-10.0
30484,9,,700.0
30484,525,,1.0
30484,901,,10.0
30484,552,,5000.0
30504,525,,1.0
30504,252,,0.0
30504,552,,1000.0
30504,665,,0.0
30504,265,,100000.0
30504,416,,0.0
30504,456,,5.0
30504,457,,10.0
30504,479,,86400000.0
30504,524,,1.0
30504,158,,0.0
30504,160,,0.0
30504,247,,0.0
30504,250,,5.0
30504,251,,10.0
30504,263,,50000.0
30504,9,,50000.0
30504,54,,0.0
30853,1470,,1.86
30853,1483,,1.86
30853,1969,,0.57
30853,237,,1.86
30853,169,,1.43
30853,1469,,1.43
30873,1488,,1.86
30873,1485,,1.43
30873,1486,,1.86
30873,1487,,1.86
30876,1492,,29.0
30876,1493,,2.16
30876,148,,1.58
30876,652,,0.71
30876,1489,,29.0
30876,1490,,29.0
30876,1491,,29.0
30879,1493,,3.0
30879,148,,2.0
30879,652,,0.5
30879,1489,,50.0
30879,1490,,50.0
30879,1491,,50.0
30879,1492,,50.0
32396,840,,3019463.0
32399,9,,100000000.0
32419,9,,100000000.0
33003,525,,1.0
33003,9,,10.0
33481,9,,100000000.0
33538,9,,1000.0
33538,525,,1.0
33538,901,,30.0
33538,552,,5000.0
34334,9,,100000000.0
34494,524,,1.0
34494,525,,1.0
34494,552,,1000.0
34494,665,,0.0
34494,263,,50000.0
34494,265,,100000.0
34494,416,,0.0
34494,456,,5.0
34494,457,,10.0
34494,479,,86400000.0
34494,158,,0.0
34494,160,,0.0
34494,247,,0.0
34494,250,,5.0
34494,251,,10.0
34494,252,,0.0
34494,9,,50000.0
34494,54,,0.0
34537,552,,1000.0
34537,665,,0.0
34537,416,,0.0
34537,456,,5.0
34537,457,,10.0
34537,479,,86400000.0
34537,524,,1.0
34537,525,,1.0
34537,247,,0.0
34537,250,,5.0
34537,251,,10.0
34537,252,,0.0
34537,263,,50000.0
34537,265,,100000.0
34537,9,,500000.0
34537,54,,0.0
34537,158,,0.0
34537,160,,0.0
34766,9,,10.0
36930,9,,100000000.0
36933,9,,100000000.0
36936,9,,100000000.0
40640,9,,15000.0
40640,525,,1.0
40640,552,,5000.0
40640,901,,10.0
41696,9,,15000.0
41696,525,,1.0
41696,552,,5000.0
41696,901,,10.0
41699,552,,5000.0
41699,901,,10.0
41699,9,,15000.0
41699,525,,1.0
44275,552,,5000.0
44275,901,,10.0
44275,9,,15000.0
44275,525,,1.0
45008,2115,,0.0
46030,2115,,0.0
46339,901,,10.0
46339,9,,5000.0
46339,525,,1.0
46339,552,,5000.0
46342,9,,5000.0
46342,525,,1.0
46342,552,,5000.0
46342,901,,10.0
56,9,100000000,
56,524,,1.0
59,524,,1.0
1530,9,100000000,
1530,524,,1.0
1928,524,,1.0
1931,524,,1.0
2071,9,,100000000.0
2071,524,,1.0
3866,9,100000000,
3866,524,,1.0
9857,524,,1.0
16641,726,100,
16644,726,100,
16661,726,100,
16664,726,100,
16681,726,1500,
17769,726,100,
20431,726,100,
25237,726,1,
25337,726,1,
25340,726,1,
25343,726,1,
25589,9,20,
25592,9,20,
25609,9,20,
25612,9,20,
25615,9,20,
28689,726,1,
28692,726,1,
30000,726,,100.0
30020,9,,20.0
30023,9,,20.0
30249,9,,20.0
30252,9,,20.0
30255,9,,20.0
30272,9,,20.0
9917,419,2800000,
9923,419,6100000,
29668,1818,,3500.0
29668,1551,,30.0
594,3,0,
594,15,0,
594,19,1,
594,21,,0.0
594,49,0,
594,124,16777215,
594,113,,0.67
594,109,,0.67
594,111,,0.67
594,110,,0.67
594,525,,1.0
594,600,,5.0
594,586,,7.5
594,1137,,3.0
594,1262,,0.63
594,552,,42.0
594,277,,1.0
594,70,,3.15
594,153,,2.24e-06
594,76,,30000.0
594,79,,2500.0
594,564,,600.0
594,192,,4.0
594,263,,400.0
594,265,,450.0
594,9,,500.0
594,482,,370.0
594,55,,185000.0
594,37,,340.0
594,48,,135.0
594,14,,3.0
594,13,,3.0
594,12,,4.0
594,102,,3.0
594,101,,0.0
594,1768,,11331.0
594,11,,45.0
594,1555,,25.0
594,1547,,1.0
594,272,,0.5
594,267,,0.5
594,1271,,5.0
594,1281,,1.0
594,1198,,0.01
594,1199,,100.0
594,1200,,100.0
594,1224,,1.0
594,1259,,0.5
594,1261,,0.5
594,662,,0.05
594,1132,,400.0
594,1154,3,
594,1178,,100.0
594,1179,,0.01
594,1196,,0.01
594,479,,625000.0
594,484,,0.75
594,511,,0.0
594,524,,0.75
594,633,0,
594,661,,3000.0
594,271,,1.0
594,273,,0.6
594,274,,0.8
594,283,,5.0
594,422,1,
594,462,5,
594,211,,0.0
594,217,394,
594,246,394,
594,268,,0.9
594,269,,0.65
594,270,,0.65
594,129,2,
594,136,,1.0
594,182,3328,
594,208,,0.0
594,209,,0.0
594,210,,9.0
597,3,0,
597,15,0,
597,19,1,
597,21,,0.0
597,49,0,
597,485,,-10.0
597,113,,0.67
597,109,,0.67
597,111,,0.67
597,110,,0.67
597,48,,140.0
597,12,,5.0
597,1262,,0.71
597,11,,67.0
597,102,,4.0
597,55,,160000.0
597,208,,10.0
597,37,,355.0
597,70,,2.9
597,525,,1.0
597,600,,5.0
597,1137,,3.0
597,482,,400.0
597,464,,-4.0
597,277,,1.0
597,192,,4.0
597,552,,37.0
597,263,,350.0
597,265,,500.0
597,9,,450.0
597,153,,2.24e-06
597,79,,2000.0
597,564,,640.0
597,14,,4.0
597,13,,2.0
597,101,,0.0
597,1768,,11313.0
597,1555,,25.0
597,1547,,1.0
597,272,,0.5
597,267,,0.5
597,1271,,0.0
597,1281,,1.0
597,1198,,0.01
597,1199,,100.0
597,1200,,100.0
597,1224,,1.0
597,1259,,0.63
597,1261,,0.25
597,662,,0.05
597,1132,,400.0
597,1154,3,
597,1178,,100.0
597,1179,,0.01
597,1196,,0.01
597,479,,625000.0
597,484,,0.75
597,511,,0.0
597,524,,0.75
597,633,0,
597,661,,3000.0
597,270,,0.65
597,271,,1.0
597,273,,0.6
597,274,,0.8
597,283,,0.0
597,422,1,
597,210,,0.0
597,211,,0.0
597,217,394,
597,246,394,
597,268,,0.8
597,269,,0.75
597,76,,25000.0
597,124,16777215,
597,129,12,
597,136,,1.0
597,182,3331,
597,209,,0.0
600,3,0,
600,9,31,
600,11,25,
600,12,2,
600,13,2,
600,14,2,
600,113,,0.67
600,109,,0.67
600,111,,0.67
600,110,,0.67
600,525,,1.0
600,600,,5.0
600,1768,,11342.0
600,1547,,1.0
600,267,,0.4
600,272,,0.5
600,1224,,1.0
600,1259,,0.25
600,1261,,0.25
600,1262,,0.25
600,1271,,10.0
600,1281,,1.0
600,1178,,100.0
600,1179,,0.01
600,1196,,0.01
600,1198,,0.01
600,1199,,100.0
600,1200,,100.0
600,633,0,
600,661,,3000.0
600,662,,0.05
600,1132,,400.0
600,1137,3,
600,1154,3,
600,482,,125.0
600,484,,0.75
600,511,,0.0
600,524,,0.75
600,552,,30.0
600,564,,750.0
600,273,,0.6
600,274,,0.8
600,277,3,
600,283,,10.0
600,422,1,
600,479,,625000.0
600,263,,63.0
600,265,163,
600,268,,0.9
600,269,,0.75
600,270,,0.55
600,271,,1.0
600,208,0,
600,209,3,
600,210,0,
600,211,0,
600,217,397,
600,246,397,
600,124,16777215,
600,129,10,
600,136,,1.0
600,153,,2.24e-06
600,182,3329,
600,192,3,
600,55,,62500.0
600,70,,3.1
600,76,,15000.0
600,79,2500,
600,101,2,
600,102,2,
600,15,0,
600,19,1,
600,21,,0.0
600,37,300,
600,48,100,
600,49,0,
614,3,0,
614,9,44,
614,11,25,
614,12,1,
614,13,3,
614,14,3,
614,113,,0.67
614,109,,0.67
614,111,,0.67
614,110,,0.67
614,600,,5.0
614,525,,1.0
614,1768,,11318.0
614,1547,,1.0
614,272,,0.5
614,267,,0.5
614,1224,,1.0
614,1259,,0.5
614,1261,,0.5
614,1262,,0.0
614,1271,,10.0
614,1281,,1.0
614,1178,,100.0
614,1179,,0.01
614,1196,,0.01
614,1198,,0.01
614,1199,,100.0
614,1200,,100.0
614,633,0,
614,661,,3000.0
614,662,,0.05
614,1132,,400.0
614,1137,3,
614,1154,3,
614,482,,125.0
614,484,,0.75
614,511,,0.0
614,524,,0.75
614,552,,30.0
614,564,,750.0
614,273,,0.6
614,274,,0.8
614,277,1,
614,283,,10.0
614,422,1,
614,479,,625000.0
614,263,,63.0
614,265,169,
614,268,,0.8
614,269,,0.75
614,270,,0.65
614,271,,1.0
614,208,0,
614,209,3,
614,210,0,
614,211,0,
614,217,397,
614,246,397,
614,124,16777215,
614,129,9,
614,136,,1.0
614,153,,2.24e-06
614,182,3755,
614,192,3,
614,55,,125000.0
614,70,,3.1
614,76,,15000.0
614,79,2500,
614,101,3,
614,102,1,
614,15,0,
614,19,1,
614,21,,0.0
614,37,250,
614,48,100,
614,49,0,
617,3,0,
617,15,0,
617,19,1,
617,21,,0.0
617,49,0,
617,79,2500,
617,111,,0.67
617,110,,0.67
617,113,,0.67
617,109,,0.67
617,525,,1.0
617,600,,3.0
617,1261,,0.5
617,1262,,0.25
617,1259,,0.25
617,277,,1.0
617,182,,3327.0
617,209,,7.0
617,210,,0.0
617,211,,0.0
617,552,,46.0
617,265,,200.0
617,9,,225.0
617,70,,4.35
617,153,,8.66e-07
617,76,,22000.0
617,564,,555.0
617,192,,3.0
617,208,,0.0
617,1132,,0.0
617,102,,2.0
617,263,,225.0
617,267,,0.4
617,55,,62500.0
617,37,,360.0
617,12,,2.0
617,1836,,50.0
617,1868,,22.5
617,1869,,22.5
617,1867,,22.5
617,101,,1.0
617,11,,22.0
617,48,,105.0
617,14,,2.0
617,13,,3.0
617,272,,0.5
617,1198,,0.01
617,1199,,100.0
617,1200,,100.0
617,1224,,1.0
617,1271,,0.0
617,1281,,1.0
617,633,0,
617,661,,3000.0
617,662,,0.05
617,1178,,100.0
617,1179,,0.01
617,1196,,0.01
617,422,1,
617,479,,625000.0
617,482,,125.0
617,484,,0.75
617,511,,0.0
617,524,,0.75
617,269,,0.75
617,270,,0.65
617,271,,1.0
617,273,,0.6
617,274,,0.8
617,283,,0.0
617,124,16777215,
617,129,3,
617,136,,1.0
617,217,395,
617,246,395,
617,268,,0.9
620,3,0,
620,15,0,
620,19,1,
620,21,,0.0
620,49,0,
620,79,6000,
620,109,,0.67
620,111,,0.67
620,110,,0.67
620,11,,470.0
620,48,,380.0
620,482,,2100.0
620,55,,420000.0
620,769,,1000.0
620,113,,0.67
620,70,,0.61
620,349,,430.0
620,351,,430.0
620,525,,1.0
620,600,,3.0
620,37,,210.0
620,76,,62500.0
620,564,,280.0
620,211,,15.0
620,1259,,0.71
620,1261,,0.71
620,657,,12.5
620,192,,8.0
620,552,,95.0
620,1840,,200.0
620,487,,-5.0
620,1137,,3.0
620,102,,1.0
620,101,,2.0
620,263,,1650.0
620,265,,1000.0
620,9,,1450.0
620,14,,5.0
620,13,,5.0
620,12,,3.0
620,1768,,11324.0
620,1547,,2.0
620,1555,,100.0
620,272,,0.5
620,267,,0.5
620,1281,,1.0
620,1198,,0.01
620,1199,,100.0
620,1200,,100.0
620,1224,,0.75
620,1262,,0.5
620,1271,,20.0
620,662,,0.25
620,1132,,400.0
620,1154,3,
620,1178,,100.0
620,1179,,0.01
620,1196,,0.01
620,422,1,
620,479,,1250000.0
620,484,,0.75
620,524,,0.75
620,633,0,
620,661,,2000.0
620,270,,0.55
620,271,,1.0
620,273,,0.6
620,274,,0.8
620,277,1,
620,283,,20.0
620,209,,0.0
620,210,,0.0
620,217,395,
620,246,395,
620,268,,0.9
620,269,,0.75
620,124,16777215,
620,129,500,
620,136,,1.0
620,153,,8.13e-07
620,182,3334,
620,208,,0.0
640,3,0,
640,15,0,
640,19,1,
640,21,,0.0
640,49,0,
640,76,,90000.0
640,113,,0.67
640,109,,0.67
640,111,,0.67
640,110,,0.67
640,525,,1.0
640,600,,2.0
640,422,,1.0
640,1259,,0.71
640,1262,,0.71
640,564,,110.0
640,263,,7000.0
640,192,,7.0
640,265,,5500.0
640,9,,6500.0
640,482,,5500.0
640,55,,1100000.0
640,14,,5.0
640,13,,8.0
640,12,,5.0
640,1137,,3.0
640,102,,4.0
640,101,,4.0
640,11,,9000.0
640,48,,750.0
640,598,,25.0
640,1768,,11324.0
640,1547,,3.0
640,1555,,500.0
640,37,,94.0
640,70,,0.116
640,272,,0.5
640,267,,0.5
640,1224,,0.5
640,1261,,0.82
640,1271,,75.0
640,1281,,1.0
640,1178,,100.0
640,1179,,0.01
640,1196,,0.01
640,1198,,0.01
640,1199,,100.0
640,1200,,100.0
640,552,,480.0
640,633,0,
640,661,,1000.0
640,662,,0.5
640,1132,,400.0
640,1154,3,
640,277,1,
640,283,,75.0
640,479,,2500000.0
640,484,,0.75
640,491,,15.0
640,524,,0.75
640,268,,0.9
640,269,,0.75
640,270,,0.55
640,271,,1.0
640,273,,0.6
640,274,,0.8
640,208,,0.0
640,209,,0.0
640,210,,0.0
640,211,,24.0
640,217,395,
640,246,395,
640,79,9000,
640,124,16777215,
640,129,1000,
640,136,,1.0
640,153,,1.38e-07
640,182,3338,
657,3,0,
657,15,0,
657,19,1,
657,21,,0.0
657,49,0,
657,55,,416250.0
657,2580,,0.0
657,113,,0.67
657,109,,0.67
657,111,,0.67
657,110,,0.67
657,2464,,1.0
657,525,,1.0
657,600,,3.0
657,422,,1.0
657,1971,,0.1
657,9,,970.0
657,482,,650.0
657,37,,105.0
657,70,,0.87
657,552,,220.0
657,48,,270.0
657,14,,2.0
657,13,,4.0
657,12,,5.0
657,263,,540.0
657,265,,650.0
657,277,,1.0
657,1891,,1.0
657,11,,85.0
657,633,,0.0
657,1555,,50.0
657,1768,,11331.0
657,1547,,2.0
657,272,,0.5
657,267,,0.5
657,1281,,1.0
657,1200,,100.0
657,1224,,0.75
657,1259,,0.25
657,1261,,0.71
657,1262,,0.71
657,1271,,0.0
657,1154,3,
657,1178,,100.0
657,1179,,0.01
657,1196,,0.01
657,1198,,0.01
657,1199,,100.0
657,484,,0.75
657,496,5,
657,524,,0.75
657,564,,55.0
657,1132,,400.0
657,1137,3,
657,270,,0.65
657,271,,1.0
657,273,,0.6
657,274,,0.8
657,283,,0.0
657,479,,625000.0
657,210,,12.0
657,211,,0.0
657,217,395,
657,246,395,
657,268,,0.9
657,269,,0.65
657,136,,1.0
657,153,,1.08911e-07
657,182,3340,
657,192,2,
657,208,,0.0
657,209,,0.0
657,76,,52500.0
657,79,8250,
657,101,0,
657,102,1,
657,124,16777215,
657,129,200,
3514,868,,3000.0
3514,2433,,1.0
3514,1692,,4.0
3514,867,,3.0
3514,2574,,200.0
3514,2298,,1.0
3514,1271,,0.0
3514,283,,0.0
3514,564,,75.0
3514,208,,175.0
3514,76,,5800000.0
3514,70,,0.035
3514,102,,0.0
3514,101,,0.0
3514,479,,20000000.0
3514,482,,90000.0
3514,55,,5630000.0
3514,37,,80.0
3514,9,,405000.0
3514,2378,,-5.0
3514,14,,6.0
3514,12,,6.0
3514,1261,,0.79
3514,1262,,0.76
3514,2380,,5.0
3514,2376,,5.0
3514,2381,,20.0
3514,2299,,400.0
3514,263,,750000.0
3514,265,,330000.0
3514,2135,,0.5
3514,2115,,0.5
3514,104,,0.0
3514,2377,,-3.0
3514,2382,,-3.0
3514,2375,,5.0
3514,797,,1000000000.0
3514,2116,,1.0
3514,2045,,1.0
3514,2113,,1.0
3514,2114,,1.0
3514,2112,,0.5
3514,2218,,2.0
3514,2244,,1.0
3514,113,,0.67
3514,109,,0.67
3514,111,,0.67
3514,110,,0.67
3514,552,,18870.0
3514,192,,14.0
3514,2055,,100000.0
3514,2216,,5.0
3514,2219,,3.0
3514,2217,,3.0
3514,1973,,0.0
3514,2021,,5.0
3514,422,,1.0
3514,1970,,1.0
3514,278,,1.0
3514,279,,1.0
3514,525,,1.0
3514,600,,1.5
3514,1253,,-5.0
3514,1768,,11349.0
3514,1785,,1.0
3514,633,,8.0
3514,1547,,4.0
3514,1224,,0.35
3514,1259,,0.76
3514,1281,,1.0
3514,1549,,5000.0
3514,1555,,7000.0
3514,1178,,100.0
3514,1179,,0.01
3514,1196,,0.01
3514,1198,,0.01
3514,1199,,100.0
3514,1200,,100.0
3514,908,,2500000.0
3514,911,,1.0
3514,912,,50000.0
3514,1132,,350.0
3514,1137,,3.0
3514,1154,,3.0
3514,861,,1.0
3514,866,,16274.0
3514,869,,300000.0
3514,874,,1.0
3514,898,,0.95
3514,907,,1.0
3514,277,,1.0
3514,484,,0.75
3514,524,,0.75
3514,715,,5000.0
3514,716,,10.0
3514,853,,1.0
3514,269,,0.75
3514,270,,0.65
3514,271,,1.0
3514,272,,0.5
3514,273,,0.6
3514,274,,0.8
3514,210,,0.0
3514,211,,0.0
3514,217,,394.0
3514,246,,394.0
3514,267,,0.5
3514,268,,0.8
3514,136,,1.0
3514,153,,1.38e-08
3514,182,,20533.0
3514,183,,24311.0
3514,184,,24312.0
3514,209,,0.0
3514,21,,0.0
3514,48,,950.0
3514,49,,0.0
3514,79,,6750.0
3514,124,,16777215.0
3514,129,,150.0
3514,3,,0.0
3514,11,,625000.0
3514,13,,7.0
3514,15,,0.0
3514,19,,1.0
9854,111,,0.67
9854,110,,0.67
9854,113,,0.67
9854,109,,0.67
9854,525,,1.0
9854,600,,25.0
9854,633,,0.0
9854,1281,,1.0
9854,1200,,100.0
9854,1224,,1.0
9854,1259,,0.0
9854,1261,,0.0
9854,1262,,0.0
9854,1271,,0.0
9854,1154,3,
9854,1178,,100.0
9854,1179,,0.01
9854,1196,,0.01
9854,1198,,0.01
9854,1199,,100.0
9854,524,,0.75
9854,552,,30.0
9854,564,,750.0
9854,661,,3000.0
9854,662,,0.05
9854,1132,,1.0
9854,283,,0.0
9854,422,1,
9854,479,,3000.0
9854,482,,6875.0
9854,484,,0.75
9854,511,,0.0
9854,270,,0.001
9854,271,,0.001
9854,272,,0.001
9854,273,,0.001
9854,274,,0.001
9854,277,1,
9854,246,394,
9854,263,,6250.0
9854,265,10000,
9854,267,,0.001
9854,268,,0.001
9854,269,,0.001
9854,192,3,
9854,208,,100.0
9854,209,,100.0
9854,210,,100.0
9854,211,,100.0
9854,217,394,
9854,102,0,
9854,124,16777215,
9854,129,3,
9854,136,,1.0
9854,153,,1.67e-06
9854,182,9955,
9854,49,0,
9854,55,,515625.0
9854,70,,3.1
9854,76,,55000.0
9854,79,3500,
9854,101,0,
9854,14,0,
9854,15,0,
9854,19,1,
9854,21,,0.0
9854,37,2500,
9854,48,6000,
9854,3,0,
9854,9,1249999,
9854,11,20000,
9854,12,0,
9854,13,0,
9860,3,0,
9860,9,1249999,
9860,11,20000,
9860,12,0,
9860,13,1,
9860,14,1,
9860,113,,0.67
9860,109,,0.67
9860,111,,0.67
9860,110,,0.67
9860,600,,25.0
9860,192,,12.0
9860,525,,1.0
9860,49,,0.0
9860,182,,9955.0
9860,633,,0.0
9860,76,,250000.0
9860,1271,,0.0
9860,1281,,1.0
9860,1199,,100.0
9860,1200,,100.0
9860,1224,,1.0
9860,1259,,0.0
9860,1261,,0.0
9860,1262,,0.0
9860,1132,,1.0
9860,1154,3,
9860,1178,,100.0
9860,1179,,0.01
9860,1196,,0.01
9860,1198,,0.01
9860,511,,0.0
9860,524,,0.75
9860,552,,30.0
9860,564,,750.0
9860,661,,3000.0
9860,662,,0.05
9860,277,5,
9860,283,,0.0
9860,422,1,
9860,479,,3000.0
9860,482,,6875.0
9860,484,,0.75
9860,269,,0.001
